jan 48 55 46 44 59 61 50 33 43 66 33 50 66 10 50
feb 126 135 125 129 124 89 71 103 94 103 71 110 135 21 103
mar 269 281 296 236 297 269 315 248 216 254 216 268 315 30 269
apr 333 371 462 408 454 345 509 430 502 436 333 425 509 61 436
maj 616 541 505 548 562 526 556 731 641 520 505 575 731 69 526
jun 538 605 567 550 582 590 557 673 667 627 538 596 673 47 582
jul 569 489 588 534 477 698 528 616 596 626 477 572 698 68 596
aug 444 477 535 482 405 442 480 420 480 414 405 458 535 40 480
sep 235 339 336 342 343 349 314 308 324 294 235 318 349 34 324
okt 142 148 194 155 218 149 179 159 192 170 142 171 218 25 159
nov 86 53 57 72 62 64 88 58 40 76 40 66 88 15 76
dec 46 35 36 38 44 28 29 33 40 64 28 39 64 10 40
