jan 40 49 51 54 61 51 48 34 48 63 34 50 63 9 48
feb 132 110 129 110 106 90 80 104 111 94 80 107 132 16 104
mar 262 325 319 248 297 263 305 262 235 262 235 278 325 31 263
apr 348 350 472 442 447 300 512 461 570 443 300 435 570 81 443
maj 629 538 541 542 521 573 555 737 613 430 430 568 737 80 573
jun 621 659 608 473 571 653 551 688 707 625 473 615 707 70 571
jul 671 552 602 451 526 716 485 686 594 654 451 594 716 89 594
aug 443 519 502 454 424 432 469 418 518 420 418 460 519 40 518
sep 242 382 325 320 304 367 301 308 337 329 242 321 382 38 337
okt 133 163 180 134 194 152 195 179 179 189 133 170 195 23 179
nov 87 57 42 62 64 66 73 53 42 64 42 61 87 14 64
dec 30 30 27 25 35 32 26 30 37 50 25 32 50 7 37
